,Explained Variance,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
Dimension 16,0.0001,-0.1391,-0.0354,-0.0025,0.0625,-0.0157,0.1132,-0.022,0.0734,-0.1516,0.1663,0.0868,-0.0617,0.1264,0.1733,-0.1092,0.0422,-0.0873,0.2101,0.0989,-0.0884,-0.0875,-0.08,0.0324,0.0161,0.0256,-0.0019,0.0147,-0.0433,-0.0562,-0.3147,0.3042,0.2627,-0.1922,-0.2203,0.4139,0.3279,0.3279,-0.0774,0.0441,-0.0006,0.0621
Dimension 17,0.0,0.1987,-0.0841,-0.1613,-0.1419,0.092,0.0177,0.0415,-0.0685,-0.025,0.1519,-0.0692,0.0047,-0.024,-0.0247,-0.0889,-0.0415,-0.0502,-0.2808,-0.2783,0.1023,0.1055,0.0917,0.0101,0.007,0.0057,-0.0854,-0.1705,0.0748,0.3064,-0.152,-0.2548,-0.2968,0.1415,0.1409,0.2712,0.3257,0.3257,0.1572,-0.0052,0.0003,-0.0397
Dimension 18,0.0,0.1387,0.077,0.0326,0.1877,-0.0311,-0.0453,-0.0266,-0.1025,-0.2798,0.0791,0.0103,-0.0452,0.1833,-0.1446,-0.1855,0.1726,-0.0762,0.0289,0.314,-0.0833,-0.0837,-0.0688,0.0224,0.0123,0.0181,-0.0124,-0.1639,0.0616,0.0783,0.3917,0.0021,0.0402,-0.0293,0.0586,-0.4228,0.2997,0.2997,0.1324,-0.0471,0.0001,-0.1397
Dimension 19,0.0,-0.2734,-0.0516,-0.1214,0.2294,-0.0591,-0.0844,0.008,0.0104,0.0481,-0.179,-0.0247,0.1327,-0.0065,-0.0613,0.1677,-0.0993,0.229,0.0218,0.2954,-0.1075,-0.1085,-0.0829,-0.0851,-0.0524,-0.0566,0.1174,0.1328,-0.0626,0.0017,-0.1634,-0.052,-0.2593,-0.1484,0.5741,0.1013,0.1293,0.1293,-0.1218,0.0035,0.0015,-0.1563
Dimension 20,0.0,0.0165,-0.012,-0.0514,-0.0486,0.2188,0.1204,0.0984,-0.0168,0.1937,0.1225,-0.069,0.0006,0.2284,-0.0941,-0.0337,0.2174,-0.2449,-0.0457,0.2138,-0.1029,-0.1072,-0.0793,-0.0618,-0.0405,-0.0455,-0.15,-0.2,0.1321,0.0826,-0.0878,-0.1837,0.1183,-0.4238,0.2227,0.1269,-0.2106,-0.2106,0.27,0.0692,0.0007,0.2407
Dimension 21,0.0,0.3508,-0.037,-0.1406,0.0921,-0.1645,-0.0812,-0.1216,-0.0286,-0.4197,0.0252,0.0123,-0.0873,-0.0052,-0.1086,-0.3454,0.1685,-0.1435,0.0645,0.1184,0.0156,0.0133,0.0075,0.1,0.0653,0.0676,-0.0025,0.049,-0.1022,0.0235,-0.2478,0.0463,-0.1338,0.0734,0.1528,0.1941,-0.2855,-0.2855,-0.1761,-0.0027,0.0011,-0.2015
Dimension 22,0.0,-0.1833,-0.0002,-0.004,0.1233,0.0964,0.1192,0.0396,0.0171,0.0668,0.0013,-0.1619,-0.0284,0.206,0.029,-0.0831,0.0595,0.0962,0.0078,0.3223,-0.1643,-0.1643,-0.1067,-0.1568,-0.0997,-0.1104,-0.0629,-0.1035,0.0537,-0.0353,-0.1403,-0.1391,-0.2049,0.6204,-0.3109,0.1018,-0.0697,-0.0697,0.1008,-0.0601,-0.0018,-0.01
Dimension 23,0.0,0.3732,0.0221,-0.0014,0.0573,-0.1887,-0.0935,-0.1137,-0.0001,0.2337,-0.0734,0.3716,0.2118,-0.1371,-0.1146,0.2572,0.0316,-0.3992,0.1002,0.2422,-0.0101,-0.0148,-0.0075,-0.0508,-0.0334,-0.0356,0.054,0.1161,0.0003,-0.0446,-0.0616,-0.0445,-0.0897,0.1936,-0.0345,0.0403,0.11,0.11,-0.0098,-0.0318,-0.0002,0.3555
Dimension 24,0.0,0.0542,-0.0208,-0.0832,0.0098,0.0306,-0.146,0.0492,-0.0347,-0.0457,-0.0866,-0.2314,0.1116,-0.149,-0.1216,-0.173,-0.1537,-0.0864,0.2927,-0.1065,0.0603,0.0634,0.0349,-0.1038,-0.0721,-0.0649,0.063,0.1027,0.2417,-0.4555,-0.042,0.1735,-0.0336,0.0191,0.0747,0.0614,0.0316,0.0316,0.5774,-0.0114,0.0002,-0.0736
Dimension 25,0.0,-0.0484,-0.0254,-0.06,0.1087,-0.0613,0.1267,-0.0813,0.0805,-0.2162,-0.0146,0.5263,-0.0464,0.1006,0.1296,0.2818,0.174,0.2275,-0.2619,-0.0538,-0.0228,-0.0172,-0.0081,0.1988,0.1289,0.1394,-0.1205,0.0256,0.1287,-0.2392,-0.0569,-0.0469,-0.029,0.0265,0.0165,0.0363,-0.0549,-0.0549,0.4132,-0.0073,0.0005,-0.1093
Dimension 26,0.0,0.0274,-0.012,0.0256,-0.1071,-0.1951,0.0809,-0.0925,0.1175,0.191,-0.0919,-0.3376,-0.3002,-0.169,0.2893,-0.0774,-0.0729,-0.1572,-0.1207,0.2455,-0.0886,-0.1016,-0.025,0.3834,0.2492,0.2673,0.1716,0.1714,0.0431,-0.0905,0.0083,-0.244,0.0088,-0.0139,0.0186,-0.0141,0.0585,0.0585,0.1112,0.0008,-0.0003,0.0007
