,Explained Variance,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
Dimension 1,0.9848,-0.0043,-0.0015,0.011,0.0024,-0.0051,-0.007,-0.0053,-0.011,0.0153,0.0057,-0.0218,0.0097,-0.0152,-0.0042,-0.0041,-0.0087,-0.0078,-0.0125,-0.0093,-0.0218,-0.0211,-0.0211,-0.0221,-0.0017,-0.001,-0.0012,-0.0045,-0.0163,-0.0009,-0.0019,0.0227,0.008,0.0211,0.0228,0.0202,0.0236,-0.0004,-0.0004,-0.0014,0.0182,0.9966,-0.001
Dimension 2,0.0102,0.0429,-0.0682,0.0098,-0.0557,0.0859,0.1188,0.0683,0.1712,-0.1635,-0.0412,0.3041,-0.1037,0.2128,0.0785,0.0814,0.0855,0.1191,0.1866,0.1546,0.3894,0.373,0.3731,0.3903,0.0253,0.0148,0.0175,0.008,0.2386,0.0114,0.0261,-0.0174,-0.1111,-0.0143,-0.0357,-0.0488,-0.0405,0.005,0.005,0.0189,-0.0221,0.0652,-0.0179
